Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 00:00:00,84.6292,0.0000,9.9958,9.9958,4.7982,236.3178,113.3111,35.7953,45.2050,2.4306,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 01:00:00,84.6159,0.0000,9.9526,9.9526,4.8559,234.4671,111.2888,35.8233,45.2396,1.7491,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 02:00:00,84.7177,0.0000,9.8969,9.8969,4.8197,231.7348,134.4140,35.8275,45.2637,1.1851,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 03:00:00,84.7392,0.0000,9.9327,9.9327,4.7652,231.0082,155.1853,35.7967,45.2301,0.8936,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 04:00:00,84.7208,0.0000,9.9027,9.9027,4.7883,234.2096,127.9830,35.8347,45.2661,2.1565,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 05:00:00,84.6967,0.0000,9.9489,9.9489,4.7784,236.2702,101.6436,35.8055,45.2296,2.1809,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 06:00:00,84.6749,0.0000,10.0179,10.0179,4.7650,237.3248,87.0818,35.7488,45.1667,2.4632,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 07:00:00,84.5351,0.0000,10.1800,10.1800,4.7462,233.5995,81.9541,35.6784,45.0593,1.3399,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 08:00:00,84.5243,0.0000,10.1868,10.1868,4.7377,230.9030,82.4865,35.6827,45.0594,0.9397,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 09:00:00,84.5531,0.0000,10.1488,10.1488,4.7602,230.1627,83.8468,35.6928,45.0805,0.8906,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 10:00:00,84.3995,0.0000,10.1878,10.1878,4.8318,233.0803,80.3541,35.7333,45.0917,1.1293,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 11:00:00,84.3747,0.0000,10.0989,10.0989,4.9369,236.3317,79.7918,35.8022,45.1701,3.7072,,
