Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,Azufre Total
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 0:00,87.4304,0.0034,8.0381,8.0415,4.0406,245.8207,93.413,36.2858,46.2808,3.2435,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 1:00,87.2747,0.0029,8.0435,8.0464,4.164,238.6606,96.67,36.3349,46.3099,1.924,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 2:00,87.2721,0.0075,8.085,8.0926,4.1546,237.6205,97.091,36.2922,46.2637,2.2081,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 3:00,87.3358,0.0101,8.0644,8.0745,4.1165,245.297,110.0243,36.2848,46.2657,1.3616,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 4:00,87.3984,0.0137,8.0103,8.0239,4.0969,243.7853,94.259,36.2994,46.2943,0.7411,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 5:00,87.3272,0.0217,8.0044,8.0261,4.1452,244.3305,85.8666,36.3314,46.3119,2.8345,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 6:00,87.4225,0.0195,8.0507,8.0702,4.0455,243.7543,91.0927,36.2569,46.2478,2.5833,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 7:00,87.4325,0.0246,8.0699,8.0945,4.0222,242.9426,100.2159,36.2346,46.223,1.8334,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 8:00,87.4769,0.0238,8.0536,8.0774,4.0098,243.906,104.2385,36.2224,46.2224,1.0896,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 9:00,87.5294,0.0269,7.9785,8.0054,4.0233,237.3198,102.5064,36.2564,46.2719,0.6497,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 10:00,87.6227,0.0358,7.8474,7.8832,3.9966,235.9639,84.1668,36.3347,46.3681,0.8652,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 11:00,87.5568,0.0395,7.8866,7.9261,4.0205,243.0703,81.7247,36.3298,46.347,2.7129,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 12:00,87.5852,0.0247,7.9188,7.9435,3.9999,249.1291,93.5581,36.2961,46.3221,2.4801,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 13:00,87.541,0.0232,7.9081,7.9313,4.0486,238.4935,102.233,36.3172,46.3406,1.4735,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 14:00,87.6131,0.023,7.8797,7.9028,4.011,234.975,101.7368,36.3147,46.3505,1.297,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 15:00,87.5132,0.0262,7.8884,7.9146,4.0617,235.772,108.4062,36.3508,46.3677,0.889,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 16:00,87.5329,0.0274,7.909,7.9363,4.0115,238.6677,90.4605,36.3399,46.3518,1.4547,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 17:00,87.6046,0.0353,7.9005,7.9358,3.9687,251.4326,92.4401,36.3104,46.3318,3.8741,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 18:00,87.6641,0.0308,7.894,7.9247,3.9397,241.5955,99.9801,36.2858,46.3218,2.8787,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 19:00,87.6888,0.0343,7.9197,7.954,3.8964,234.16,106.0069,36.253,46.2887,2.3439,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 20:00,87.6543,0.0425,7.9693,8.0119,3.8801,231.7649,111.4222,36.221,46.2437,1.7314,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 21:00,87.522,0.04,8.0804,8.1204,3.9042,233.8364,93.7952,36.1854,46.1784,1.0216,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 22:00,87.3981,0.05,8.1705,8.2206,3.8806,239.244,79.2956,36.1803,46.1329,1.7129,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 23:00,87.4609,0.0454,8.1848,8.2302,3.8632,244.8158,84.9519,36.1331,46.1004,4.4821,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 0:00,87.5065,0.0369,8.2344,8.2714,3.7995,247.6819,100.2547,36.0793,46.0517,2.1015,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 1:00,87.4465,0.0362,8.2292,8.2654,3.8674,243.7011,106.0276,36.0969,46.0655,1.3654,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 2:00,87.5426,0.0325,8.1255,8.1581,3.8766,237.7725,111.2383,36.1405,46.1366,0.8492,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 3:00,87.6744,0.0309,7.9729,8.0038,3.8834,234.304,88.1933,36.2108,46.2429,0.5727,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 4:00,87.6896,0.0489,7.943,7.9918,3.8659,239.7927,72.77,36.2253,46.2531,1.2726,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 5:00,87.7121,0.0431,7.9725,8.0155,3.8368,242.6995,83.9842,36.193,46.2245,2.3313,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 6:00,87.7437,0.0453,7.9909,8.0362,3.7928,236.4128,91.9387,36.1651,46.1981,1.3517,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 7:00,87.6719,0.0557,8.0171,8.0728,3.8282,234.8031,94.7863,36.1608,46.1787,1.2196,
