Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 00:00,85.2413,0.0026,10.6258,10.6285,3.7747,233.5597,63.7933,35.058,44.3608,6.0895
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 01:00,84.756,0.0029,11.1487,11.1517,3.7279,234.3867,66.168,34.9068,44.1869,6.8319
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 02:00,84.756,0.0029,11.1487,11.1517,3.7279,234.3867,67.277,34.9068,44.1869,8.0828
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 03:00,84.7005,0.0028,11.2206,11.2234,3.7219,232.6349,68.6425,34.8704,44.1361,9.3212
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 04:00,83.6325,0.0015,12.2922,12.2937,3.7642,224.9716,65.6213,34.444,43.456,11.4187
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 05:00,83.3401,0.0022,12.4695,12.4717,3.8668,225.1167,65.1808,34.4124,43.3696,9.7794
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 06:00,84.3946,0.0035,11.2826,11.2861,4.0089,225.0269,71.6922,34.8949,44.1289,5.4413
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 07:00,84.8057,0.0028,11.0772,11.08,3.8018,224.882,78.4458,34.9148,44.2194,5.371
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 08:00,84.3891,0.0041,11.7245,11.7285,3.6034,224.0834,86.0155,34.5909,43.7622,4.1124
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 09:00,83.9703,0.0015,11.6896,11.6911,4.0389,224.9343,93.356,34.7437,43.8783,2.14
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 10:00,84.9273,0.0017,11.0899,11.0915,3.6473,224.45,100.2185,34.8768,44.1901,3.2988
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 11:00,84.9228,0.0017,10.8153,10.817,3.8155,240.5826,106.6223,35.0996,44.4399,3.9228
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 12:00,85.3272,0.0018,10.8399,10.8417,3.5247,227.504,96.2982,34.9224,44.3144,4.5261
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 13:00,85.4161,0.0029,10.9136,10.9165,3.3468,232.1221,76.1151,34.8582,44.2434,10.8851
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 14:00,85.2422,0.0015,11.094,11.0955,3.3772,237.4849,66.3636,34.7715,44.1192,9.2586
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/9/2017 15:00,85.1578,0.0022,11.1089,11.1111,3.4216,233.5944,67.7771,34.7939,44.1278,7.8007
