Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 00:00:00,85.8361,0.0673,9.1429,9.2102,4.5031,240.2226,85.9456,35.9229,45.5769,2.3870,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 01:00:00,85.8339,0.0624,9.0642,9.1266,4.5703,237.8492,101.7524,35.9842,45.6496,2.2244,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 02:00:00,85.9065,0.0652,9.0143,9.0795,4.5573,233.3249,77.2500,35.9906,45.6715,1.4620,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 03:00:00,85.9086,0.0605,8.9883,9.0488,4.5695,239.1934,101.0748,36.0186,45.7023,1.3067,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 04:00:00,85.9565,0.0569,8.9650,9.0220,4.5429,238.4995,92.9311,36.0241,45.7170,1.3178,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 05:00:00,86.0410,0.0754,8.8813,8.9567,4.5359,238.2354,69.0026,36.0384,45.7478,3.0489,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 06:00:00,85.9621,0.0919,8.7869,8.8787,4.6653,242.0874,60.6231,36.1250,45.8302,3.1420,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 07:00:00,86.0636,0.0905,8.7608,8.8513,4.6217,239.1733,112.1568,36.1010,45.8260,3.3951,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 08:00:00,86.1156,0.0868,8.7980,8.8849,4.5254,239.4685,74.6926,36.0744,45.7965,2.5938,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 09:00:00,86.1550,0.0599,8.8334,8.8933,4.4437,238.4415,111.0245,36.0752,45.7990,2.1955,
