Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 00:00,83.8031,0.0029,9.2286,9.2316,6.4532,246.7235,133.1004,36.5661,45.9919,1.454
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 01:00,83.3441,0.0025,9.2258,9.2283,6.8982,241.3571,137.4015,36.7076,46.0831,0.9199
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 02:00,83.1079,0.002,9.3599,9.3618,6.9687,242.3729,118.1357,36.6983,46.0258,0.5602
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 03:00,83.097,0.0046,9.4648,9.4694,6.8765,244.9709,105.6662,36.6266,45.9385,1.7093
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 04:00,84.1292,0.005,9.6264,9.6313,5.7315,248.1999,102.8588,36.1966,45.6018,1.7329
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 05:00,84.0119,0.0017,9.7383,9.7401,5.7483,248.5368,110.7926,36.1502,45.5311,2.0398
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 06:00,84.0383,0.0008,9.7817,9.7825,5.6596,242.1505,116.2986,36.1163,45.4933,1.116
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 07:00,84.4845,0.0015,9.8568,9.8583,5.1266,240.8678,115.3153,35.936,45.348,1.054
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 08:00,84.0046,0.0015,9.5346,9.5361,5.8953,245.2125,108.4412,36.3084,45.7106,0.7318
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 09:00,83.6037,0.0029,9.311,9.3138,6.4949,246.7263,108.1134,36.5889,45.9745,0.9298
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 10:00,83.22,0.0012,9.0922,9.0934,7.0573,244.7359,110.2329,36.8652,46.2348,0.8058
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 11:00,83.4443,0.0018,8.9629,8.9647,6.9509,247.0281,116.2118,36.893,46.3018,1.9759
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 12:00,83.5443,0.0011,8.8885,8.8896,6.935,248.2963,132.8167,36.9105,46.3421,1.4034
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 13:00,83.2588,0.0009,8.9084,8.9094,7.1623,247.8512,141.2531,36.9965,46.3886,0.7827
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 14:00,83.3082,0.0027,8.8366,8.8392,7.1506,246.8692,134.2495,37.0443,46.4453,0.9017
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 15:00,83.2065,0.0033,8.8085,8.8117,7.2422,247.2513,119.049,37.1086,46.4961,0.7224
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 16:00,83.2291,0.0031,8.6664,8.6695,7.3416,246.9861,160.5773,37.2076,46.6133,1.2391
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 17:00,82.9897,0.0029,8.7682,8.7712,7.4764,253.1142,233.6634,37.2128,46.5773,2.3815
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 18:00,82.8512,0.0027,8.9719,8.9746,7.4216,246.473,264.8948,37.1044,46.4308,1.268
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 19:00,82.9934,0.0023,8.9936,8.9959,7.2672,243.4517,248.8082,37.0447,46.385,0.7265
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 20:00,82.8368,0.0042,9.2168,9.2209,7.1967,247.4775,264.9726,36.9454,46.2353,1.5814
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 21:00,82.8879,0.0038,9.396,9.3998,7.0334,249.549,222.0982,36.7861,46.0662,1.8519
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 22:00,83.1696,0.0012,9.2719,9.2731,6.8764,251.3948,179.974,36.7885,46.1168,2.2433
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/4/2017 23:00,83.2406,0.0012,9.2635,9.2647,6.858,247.7923,264.3209,36.7546,46.0987,2.0333
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/4/2017 00:00,83.3603,0.0015,9.1311,9.1327,6.8505,244.2444,242.0624,36.8139,46.187,1.0954
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/4/2017 01:00,84.0043,0.0029,8.8174,8.8203,6.5826,240.6255,173.8526,36.7493,46.1408,1.2919
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/4/2017 03:00,83.3312,0.0027,9.1306,9.1333,6.9073,242.2419,230.2057,36.8066,46.182,0.862
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/4/2017 04:00,83.3312,0.0027,9.1306,9.1333,6.9073,242.2419,215.4508,36.8066,46.182,0.803
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/4/2017 05:00,83.3312,0.0027,9.1306,9.1333,6.9073,242.2419,129.2293,36.8066,46.182,2.2262
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/4/2017 06:00,84.058,0.0032,8.4151,8.4183,6.8888,243.3873,127.7498,37.0725,46.627,1.6739
