Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 00:00,87.3567,0.0429,8.3779,8.4208,3.7616,237.7688,110.8392,36.0309,45.9604,8.5285
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 01:00,87.3423,0.0397,8.3904,8.43,3.7433,234.4998,113.7658,36.036,45.9605,7.035
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 02:00,87.3801,0.0378,8.3464,8.3843,3.7764,236.2417,119.7046,36.0444,45.9845,9.8709
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 03:00,87.3461,0.0383,8.3477,8.386,3.8024,233.5698,122.9356,36.0545,45.9901,6.1432
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 04:00,87.3269,0.0399,8.3393,8.3792,3.813,234.3678,121.1063,36.0726,46.0039,7.1461
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 05:00,87.3463,0.0433,8.3484,8.3917,3.7894,236.8223,114.8139,36.0586,45.9893,7.3241
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 06:00,87.465,0.0398,8.2813,8.3211,3.7596,240.9773,116.8181,36.061,46.0197,5.9162
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 07:00,87.6452,0.0371,8.0943,8.1314,3.7614,237.9274,124.9657,36.1385,46.1449,7.1813
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 08:00,87.7345,0.0407,8.0049,8.0456,3.7716,237.567,131.9344,36.1615,46.1931,7.9629
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 09:00,87.6866,0.0368,8.0935,8.1303,3.7435,233.0162,133.0757,36.1146,46.1304,6.6388
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 10:00,87.5277,0.0373,8.2615,8.2988,3.7155,231.8553,125.3608,36.0565,46.0262,7.3765
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 11:00,87.3639,0.0474,8.427,8.4744,3.6953,236.6712,116.7365,35.9963,45.9161,8.6437
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 12:00,87.4307,0.0354,8.3573,8.3927,3.7382,238.8801,117.725,36.0178,45.9648,5.1779
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 13:00,87.3348,0.0438,8.3728,8.4165,3.7734,238.5209,124.4255,36.0448,45.9706,6.5976
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 14:00,87.4226,0.0393,8.4312,8.4705,3.6752,236.1195,126.8274,35.9624,45.898,6.4254
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 15:00,87.4591,0.0366,8.3245,8.3612,3.7423,232.3822,127.1228,36.0273,45.9831,6.4456
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 16:00,87.5222,0.0383,8.1092,8.1476,3.8418,232.811,124.1055,36.1742,46.1607,5.9445
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 17:00,87.2824,0.0465,8.3498,8.3963,3.8812,233.9296,119.5387,36.06,45.9879,4.1862
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 18:00,87.4035,0.064,8.2117,8.2757,3.9026,233.8288,110.8846,36.0974,46.056,8.3279
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 19:00,87.326,0.0719,8.194,8.2659,3.9848,234.3629,104.7969,36.1265,46.0767,8.5694
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 20:00,87.336,0.0924,8.2674,8.3599,3.888,231.2061,103.0285,36.0562,45.9906,9.3766
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 21:00,87.294,0.0944,8.3274,8.4218,3.8366,229.9637,97.5121,36.0349,45.9518,11.1012
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 22:00,87.189,0.0814,8.382,8.4635,3.8889,231.9091,92.5904,36.0428,45.9432,8.3331
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,22/8/2017 23:00,87.2886,0.078,8.4133,8.4913,3.8284,233.6158,93.1423,35.969,45.8861,7.3499
