Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 00:00,87.5643,0.0022,8.3586,8.3609,3.7302,229.8076,143.6175,35.9608,45.9485,4.8189
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 01:00,87.4482,0.0024,8.3786,8.381,3.8081,228.8802,150.6341,35.9881,45.9578,5.493
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 02:00,87.4373,0.0026,8.5022,8.5048,3.7085,228.4026,156.749,35.9011,45.8532,6.0897
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 03:00,87.3417,0.0025,8.5799,8.5823,3.7198,230.7446,163.342,35.8799,45.809,4.5531
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 04:00,87.2348,0.0024,8.7156,8.718,3.6879,230.0149,169.6098,35.8214,45.718,3.7359
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 05:00,87.3088,0.0023,8.755,8.7573,3.5968,230.6064,175.4733,35.7643,45.6661,3.396
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 06:00,87.3826,0.0029,8.6325,8.6353,3.6468,228.1412,181.3162,35.822,45.7511,3.0575
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 07:00,87.4268,0.0038,8.5347,8.5386,3.6882,227.197,186.8196,35.8779,45.8248,3.1386
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 08:00,87.4297,0.0047,8.5166,8.5213,3.6968,228.0702,191.8657,35.8914,45.8401,4.7052
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 09:00,87.5527,0.0068,8.3766,8.3833,3.718,229.015,196.6138,35.9449,45.9285,4.7743
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 10:00,87.5863,0.0077,8.3396,8.3473,3.7197,230.1514,160.6784,35.9604,45.9441,0
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 11:00,87.6093,0.0057,8.4257,8.4315,3.6286,229.8803,119.8056,35.8884,45.8737,4.8642
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 12:00,87.6701,0.0056,8.3821,8.3877,3.6089,226.8734,103.3886,35.9004,45.8969,4.56
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 13:00,87.6303,0.0052,8.337,8.3421,3.6871,226.9856,94.8653,35.9473,45.9468,4.4689
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 14:00,87.5506,0.0048,8.3311,8.3359,3.7633,227.3833,90.3724,35.9792,45.9696,4.8695
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 15:00,87.6439,0.0065,8.2023,8.2088,3.7773,229.7384,86.7346,36.0495,46.0651,6.5807
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 16:00,87.7612,0.0062,8.0332,8.0394,3.8195,231.6554,85.0128,36.1359,46.1868,6.5067
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 17:00,87.6957,0.0072,7.9814,7.9886,3.928,233.4815,85.0232,36.1884,46.2401,6.793
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 18:00,87.6539,0.0068,7.9598,7.9666,3.9803,231.9616,87.587,36.2176,46.2674,5.8946
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 19:00,87.8287,0.0062,7.7957,7.8018,3.9644,231.9386,93.7188,36.2459,46.2644,7.3531
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 20:00,87.7016,0.0066,7.9297,7.9363,3.9478,232.3544,106.564,36.2336,46.2896,11.7394
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 21:00,87.7016,0.0066,7.9297,7.9363,3.9478,232.3544,118.7575,36.2336,46.2896,8.4159
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 22:00,87.8605,0.006,7.7622,7.7682,3.9685,231.8346,128.9935,36.249,46.2581,16.8622
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/9/2017 23:00,87.7016,0.0066,7.9297,7.9363,3.9478,232.3544,140.4901,36.2336,46.2896,13.14
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/9/2017 00:00,87.7016,0.0066,7.9297,7.9363,3.9478,232.3544,148.5198,36.2336,46.2896,7.9547
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/9/2017 01:00,86.8978,0.0076,8.647,8.6546,4.0451,231.7555,155.1361,35.9792,45.8427,7.5646
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/9/2017 02:00,85.297,0.0109,10.0766,10.0875,4.2084,231.0589,159.5797,35.478,44.9627,4.9141
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/9/2017 03:00,86.391,0.0124,8.8004,8.8129,4.2587,230.8335,148.2296,36.0589,45.8298,4.2739
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/9/2017 04:00,86.3653,0.0142,8.8681,8.8823,4.2196,234.2333,127.4169,36.0249,45.7805,7.3694
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/9/2017 05:00,86.4088,0.0129,9.0164,9.0293,4.1118,235.8738,113.7503,35.8807,45.6313,5.2475
