Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,1/9/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,2/9/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,3/9/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,4/9/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,5/9/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,6/9/2017 09:00,98.73,0.15,0.11,0.26,0.61,,,38.1045,50.68,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,7/9/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,1/9/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,2/9/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,3/9/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,4/9/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,5/9/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,6/9/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,7/9/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,1/9/2017 09:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,50.9534,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,2/9/2017 09:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,50.9534,
