Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,Azufre Total
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,1/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,2/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,3/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,4/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,5/5/2017 9:00,98.73,0.15,0.11,0.26,0.61,,,38.1045,50.68,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,6/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,7/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,8/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,9/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,10/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,11/5/2017 9:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,12/5/2017 9:00,98.73,0.15,0.11,0.26,0.61,,,38.1049,50.6806,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,13/05/17 09:00:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6966,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,14/05/17 09:00:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6966,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,1/5/2017 9:00,87.5832,0.0375,8,8.0375,3.9194,239.2467,94.9352,36.2279,46.2388,1.7453,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 9:00,86.9238,0.0529,8.6054,8.6583,3.9535,239.6012,113.6952,36.0054,45.8482,2.8227,
