Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,22/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,23/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,24/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,25/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,26/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,27/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,28/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,29/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,30/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,31/8/2017 09:00,98.63,0.15,0.14,0.29,0.63,,,38.1574,50.6306,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,22/8/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,23/8/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,24/8/2017 09:00,92.28,1.26,0.16,1.42,3.65,,,40.5754,51.4066,
