Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,01/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,02/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,03/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,04/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,05/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,06/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,07/04/17 09:00:00,98.6200,0.1500,0.1100,0.2600,0.6300,,,38.1906,50.7228,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,08/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,09/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,10/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,11/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,12/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,13/04/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6965,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,14/04/17 09:00:00,98.6200,0.1500,0.1100,0.2600,0.6300,,,38.1906,50.7228,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,01/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,02/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,03/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,04/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,05/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,06/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,07/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,08/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,09/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,10/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,11/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,12/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,13/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,14/04/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,01/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,02/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,03/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,04/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,05/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,06/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,07/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,08/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,09/04/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
