Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,01/02/17 09:00:00,99.2460,0.1040,0.1400,0.2440,0.2310,,,37.9383,50.6541,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,02/02/17 09:00:00,99.2530,0.1030,0.1410,0.2440,0.2320,,,37.9312,50.6504,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,03/02/17 09:00:00,99.4980,0.1220,0.0580,0.1800,0.0900,,,37.8889,50.6528,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,04/02/17 09:00:00,99.2640,0.0970,0.1410,0.2380,0.2330,,,37.9358,50.6574,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,05/02/17 09:00:00,99.2630,0.0960,0.1410,0.2370,0.2330,,,37.9387,50.6597,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,06/02/17 09:00:00,99.2630,0.0960,0.1410,0.2370,0.2330,,,37.9387,50.6597,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,07/02/17 09:00:00,99.2630,0.0960,0.1410,0.2370,0.2330,,,37.9387,50.6597,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,08/02/17 09:00:00,99.2630,0.0960,0.1410,0.2370,0.2330,,,37.9387,50.6597,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,09/02/17 09:00:00,99.2630,0.0960,0.1410,0.2370,0.2330,,,37.9387,50.6597,
N-CMBGN-NS-TM07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Rincon Pacheco T.M.,10/02/17 09:00:00,99.2320,0.1200,0.1440,0.2640,0.2380,,,37.9251,50.6332,
