Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,15/03/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6956,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,16/03/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6956,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,17/03/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6956,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,18/03/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6956,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,19/03/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6956,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,20/03/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6956,,
N-PRBGN-NS-TM08,CRE 52 Raudal,Pto. de Calidad El Raudal T.M.,21/03/17 09:00:00,98.6300,0.1500,0.1400,0.2900,0.6300,,,38.1574,50.6956,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,15/03/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,0.0000,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,16/03/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,0.0000,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,17/03/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,0.0000,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,18/03/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,19/03/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,20/03/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,,,
N-REBGN-NS-TR20,CRE 55 Culebra Sur,Pto. de Calidad Culebra Sur T.R.,21/03/17 09:00:00,92.2800,1.2600,0.1600,1.4200,3.6500,,,40.5754,0.0000,,
